sample_rate_hz,frequency_hz,analog_magnitude_db,measured_magnitude_db,legacy_analog_magnitude_db,analog_phase_deg,measured_phase_deg,magnitude_error_db,phase_error_deg
44100,61,-0.000162577504002,-0.000151886952179,-2.97980553302e-05,0.114021549296,0.114020966182,1.06905518215e-05,-5.83114404466e-07
44100,67,-0.000148494059051,-0.000135472506867,-3.59482348752e-05,0.0671983475815,0.0671983506111,1.30215521821e-05,3.02964029885e-09
44100,73,-0.000140215988692,-0.00012474510977,-4.26749844446e-05,0.0249217164077,0.0249219348618,1.54708789227e-05,2.1845415064e-07
44100,80,-0.000135939053263,-0.000117529456272,-5.12515760396e-05,-0.020019373201,-0.0200189446831,1.84095969908e-05,4.28517942609e-07
44100,87,-0.000136034180451,-0.000114284600217,-6.06129357504e-05,-0.0613264869143,-0.061327387816,2.17495802333e-05,-9.00901721659e-07
44100,95,-0.000140257965786,-0.000114362727339,-7.22725670125e-05,-0.105115285591,-0.105116380275,2.58952384473e-05,-1.09468321795e-06
44100,103,-0.000147973309879,-0.000117578962125,-8.49571876205e-05,-0.146071207177,-0.146072441997,3.03943477551e-05,-1.23481943594e-06
44100,112,-0.000160060611323,-0.000124300905802,-0.000100452557919,-0.189516251377,-0.189515963203,3.57597055214e-05,2.88174220289e-07
44100,123,-0.000178933376205,-0.000135800211228,-0.000121153010845,-0.239694465002,-0.239695903442,4.31331649766e-05,-1.43843945089e-06
44100,134,-0.000201681213075,-0.000150452778468,-0.000143791273081,-0.287402608259,-0.287403052145,5.12284346066e-05,-4.43886367612e-07
44100,146,-0.000230403559436,-0.000169920913892,-0.000170697589366,-0.337286718607,-0.337287069557,6.04826455449e-05,-3.50950329261e-07
44100,159,-0.000265706858284,-0.000194575322205,-0.000202448444008,-0.389359121385,-0.389360679225,7.11315360766e-05,-1.55783996376e-06
44100,173,-0.000308256617656,-0.00022468078331,-0.000239668337722,-0.443663410237,-0.443662882476,8.35758343471e-05,5.27760544298e-07
44100,189,-0.000362329041697,-0.000263423613598,-0.000286048649188,-0.503985440393,-0.503985175853,9.89054280989e-05,2.64540539813e-07
