type,slope,resonance,input_amplitude,rms,early_rms,output_peak,fundamental_amplitude,finite,stage1_limit_hits,stage2_limit_hits,stage1_max_prelimit,stage2_max_prelimit
LPF,12,11,1.000,0.00439798828807,0.00439787085104,0.919130861759,0.00621887444885,1,0,0,1.31623793652,1.10106406505
LPF,12,12,1.000,0.0046327126034,0.0046325816703,0.919148445129,0.00655079391965,1,0,0,1.38610026988,1.15783118158
LPF,12,13,1.000,0.00487427757417,0.0048741330996,0.919165074825,0.00689238600555,1,0,0,1.45797163468,1.21668002027
LPF,12,14,1.000,0.00512331409513,0.00512315597542,0.919180870056,0.00724454288004,1,0,0,1.53220950423,1.27834006588
LPF,12,15,1.000,0.00538043381828,0.00538026190029,0.919195950031,0.00760812949685,1,0,0,1.60881483099,1.34177075995
LPF,12,16,1.000,0.00564624069866,0.00564605478862,0.919210314751,0.00798399991848,1,0,0,1.68802013717,1.40756253836
LPF,12,17,1.000,0.00592133980845,0.00592113966109,0.919224023819,0.00837300978139,1,0,0,1.77002946986,1.47579469436
LPF,12,18,1.000,0.00620634436285,0.00620612969848,0.919237136841,0.00877602623231,1,0,0,1.85496417967,1.54637185724
LPF,12,19,1.000,0.00650188152195,0.0065016520205,0.919249713421,0.009193936133,1,0,0,1.94307969827,1.61972241586
LPF,12,20,1.000,0.00680859741819,0.00680835271659,0.919261813164,0.00962765317025,1,0,0,2.03451568222,1.69582270625
LPF,12,21,1.000,0.0071271616489,0.00712690135506,0.919273376465,0.0100781242091,1,0,0,2.12949067644,1.77479522301
LPF,12,22,1.000,0.00745827141776,0.00745799508743,0.919284462929,0.0105463351493,1,0,0,2.22821342449,1.85699366428
LPF,12,23,1.000,0.00780265555007,0.00780236271149,0.91929513216,0.0110333166037,1,0,0,2.33089296851,1.94244291089
LPF,12,24,1.000,0.00816107834579,0.0081607684851,0.919305443764,0.0115401493468,1,0,0,2.4377683521,2.03133369879
LPF,12,25,1.000,0.00853434350889,0.00853401607583,0.919315338135,0.0120679698711,1,0,0,2.54906884954,2.12398268382
LPF,12,26,1.000,0.0089232981342,0.00892295253074,0.919324815273,0.0126179760255,1,0,0,2.6650549155,2.22047919375
LPF,12,27,1.000,0.00932883679016,0.00932847237371,0.919333994389,0.0131914327878,1,0,0,2.78598943638,2.32107619702
LPF,12,28,1.000,0.00975190585914,0.00975152195126,0.919342815876,0.0137896784031,1,0,0,2.91215361735,2.4261590476
LPF,12,29,1.000,0.0101935080548,0.0101931039249,0.91935133934,0.0144141307712,1,0,0,3.04385307723,2.53592036398
LPF,12,30,1.000,0.0106547072575,0.0106542821255,0.919359564781,0.0150662942844,1,0,0,3.18139681611,2.65055485743
LPF,12,31,1.000,0.0111366337052,0.011136186732,0.919367492199,0.0157477671677,1,0,0,3.32512755448,2.77034309642
LPF,12,32,1.000,0.0116404894856,0.0116400197879,0.919375121593,0.0164602492451,1,0,0,3.47540260467,2.89558506878
LPF,12,33,1.000,0.0121675545633,0.0121670612091,0.919382452965,0.0172055504627,1,0,0,3.63260050546,3.02659679998
LPF,12,34,1.000,0.0127191932119,0.0127186751925,0.919389545918,0.0179855999835,1,0,0,3.79713263237,3.16371937667
LPF,12,35,1.000,0.0132968610567,0.0132963172928,0.919396400452,0.0188024561464,1,0,0,3.96943058458,3.30731233843
LPF,12,36,1.000,0.0139021126645,0.0139015420321,0.919403016567,0.0196583171993,1,0,0,4.14995526245,3.45776465998
LPF,12,37,1.000,0.0145366098542,0.0145360111339,0.919409394264,0.0205555330494,1,0,0,4.33920784769,3.61548677748
LPF,12,38,1.000,0.0152021307751,0.0152015026839,0.919415533543,0.0214966181021,1,0,0,4.53771354356,3.7809225014
LPF,12,39,1.000,0.015900579744,0.0158999209052,0.919421494007,0.0224842651696,1,0,0,4.74603811566,3.95454463743
LPF,12,40,1.000,0.0166339981495,0.0166333070973,0.919427216053,0.0235213608919,1,0,0,4.96479855992,4.1368595372
LPF,12,41,1.000,0.0174045762488,0.0174038514406,0.919432759285,0.0246110024163,1,0,0,5.1946380298,4.32841352256
LPF,12,42,1.000,0.018214666226,0.0182139059846,0.919438123703,0.0257565158641,1,0,0,5.43625885123,4.52979056496
LPF,12,43,1.000,0.0190667965492,0.0190659991296,0.919443249702,0.0269614766317,1,0,0,5.69042097944,4.74161819392
LPF,12,44,1.000,0.0199636876473,0.0199628511471,0.919448256493,0.0282297315584,1,0,0,5.95792534896,4.9645726876
LPF,12,45,1.000,0.0209082693763,0.0209073917965,0.919453024864,0.029565423625,1,0,0,6.23964393352,5.1993851194
LPF,12,46,1.000,0.0219037001023,0.0219027792804,0.919457674026,0.0309730189379,1,0,0,6.53652879557,5.44683777194
LPF,12,47,1.000,0.0229533879161,0.0229524215622,0.919462144375,0.0324573367283,1,0,0,6.84958180675,5.70777756969
LPF,12,48,1.000,0.0240610141092,0.0240599997706,0.919466435909,0.0340235825475,1,0,0,7.17989784272,5.98311906482
LPF,12,49,1.000,0.0252305590617,0.0252294941118,0.919470608234,0.0356773848757,1,0,0,7.52866041972,6.27385456824
LPF,12,50,1.000,0.0264663310997,0.0264652127169,0.919474601746,0.0374248359254,1,0,0,7.89715652913,6.58105094406
LPF,12,51,1.000,0.027142420049,0.0271412638718,0.919478476048,0.0383808607302,1,18791,0,8.10476985553,6.74977509298
LPF,12,52,1.000,0.027310728877,0.0273095536713,0.919482171535,0.0386188262229,1,23129,0,8.16087482558,6.79510064004
LPF,12,53,1.000,0.0274240264063,0.0274228391277,0.919485747814,0.0387789705396,1,25618,0,8.1964956378,6.82714411719
LPF,12,54,1.000,0.0275130961026,0.0275119114184,0.919489204884,0.0389048287891,1,27434,0,8.22543073978,6.85253496679
LPF,12,55,1.000,0.0275876755652,0.0275864904896,0.919492542744,0.0390101756858,1,28879,0,8.25099728531,6.87484631892
LPF,12,56,1.000,0.0276523130286,0.02765113064,0.919495761395,0.0391014472427,1,30074,0,8.27353593868,6.89345124876
LPF,12,57,1.000,0.0277095578447,0.0277083858023,0.919498860836,0.0391822520338,1,31095,0,8.29376144987,6.91069392913
LPF,12,58,1.000,0.0277609973477,0.0277598412643,0.919501841068,0.0392548378235,1,31990,0,8.31188353116,6.92622409237
LPF,12,59,1.000,0.0278077011185,0.0278065629634,0.919504702091,0.0393207197285,1,32789,0,8.32831951828,6.93989284285
LPF,12,60,1.000,0.0278504343688,0.0278493136659,0.919507443905,0.0393809819955,1,33516,0,8.3433695955,6.95222727442
LPF,12,61,1.000,0.0278897690083,0.0278886650111,0.919510066509,0.0394364351512,1,34187,0,8.35725682763,6.96362585755
LPF,12,62,1.000,0.0279261464013,0.0279250603645,0.919512629509,0.0394877048269,1,34795,0,8.37013750385,6.97416770122
LPF,12,63,1.000,0.0279599155805,0.0279588504892,0.919515073299,0.0395352858161,1,35350,0,8.38212968556,6.98547780069
LPF,12,64,1.000,0.0279913581629,0.027990317285,0.919517397881,0.0395795774072,1,35866,0,8.39333593402,6.99550211791
LPF,12,65,1.000,0.0280207063667,0.0280196917142,0.919519662857,0.0396209088818,1,36338,0,8.40384194141,7.00452927181
LPF,12,66,1.000,0.0280481551515,0.028047167025,0.919521868229,0.039659556688,1,36772,0,8.4137135092,7.01292639843
LPF,12,67,1.000,0.0280738705236,0.0280729079677,0.919523894787,0.0396957561774,1,37186,0,8.42300412109,7.02076874563
LPF,12,68,1.000,0.0280979957145,0.0280970581128,0.919525921345,0.039729710382,1,37570,0,8.43175656852,7.02808198514
LPF,12,69,1.000,0.0281206553082,0.0281197423458,0.919527828693,0.0397615958783,1,37937,0,8.44001229592,7.03490729147
LPF,12,70,1.000,0.0281419587111,0.0281410705658,0.919529616833,0.0397915676972,1,38275,0,8.44780465003,7.041307114
LPF,12,71,1.000,0.0281620027985,0.0281611396667,0.919531404972,0.039819763076,1,38591,0,8.45513239004,7.0473052012
LPF,12,72,1.000,0.0281808739667,0.0281800356125,0.919533073902,0.0398463043747,1,38882,0,8.46202154348,7.05290479037
LPF,12,73,1.000,0.0281986497967,0.0281978356657,0.919534683228,0.0398713014357,1,39159,0,8.46851520917,7.05814277597
LPF,12,74,1.000,0.0282154001351,0.0282146093592,0.919536173344,0.0398948531235,1,39425,0,8.47462821886,7.06304497754
LPF,12,75,1.000,0.0282311881775,0.0282304201213,0.91953766346,0.0399170488585,1,39678,0,8.48039343817,7.06770346673
LPF,12,76,1.000,0.0282460715219,0.0282453257469,0.919539034367,0.0399379701229,1,39913,0,8.48582650867,7.07213059819
LPF,12,77,1.000,0.0282601028721,0.0282593790786,0.919540405273,0.0399576914551,1,40132,0,8.49095139537,7.07630751546
