type,slope,resonance,input_amplitude,rms,early_rms,output_peak,fundamental_amplitude,finite,stage1_limit_hits,stage2_limit_hits,stage1_max_prelimit,stage2_max_prelimit
LPF,12,83,0.001,9.5639691828e-06,9.56359391583e-06,0.000920704391319,1.35239244422e-05,1,0,0,0.00285610969295,0.00237944802223
LPF,12,84,0.001,9.84183969679e-06,9.8414516597e-06,0.00092071085237,1.39168503381e-05,1,0,0,0.00293897348513,0.00244851180713
LPF,12,85,0.001,1.01345401962e-05,1.01341387525e-05,0.00092071731342,1.43307466442e-05,1,0,0,0.0030262671035,0.0025212636562
LPF,12,86,0.001,1.04433070996e-05,1.04428915762e-05,0.00092072377447,1.47673617252e-05,1,0,0,0.00311834939507,0.00259800899311
LPF,12,87,0.001,1.07695177939e-05,1.07690874442e-05,0.000920730235521,1.52286432825e-05,1,0,0,0.00321563865965,0.00267909230378
LPF,12,88,0.001,1.11147112502e-05,1.1114265271e-05,0.000920736638363,1.57167675065e-05,1,0,0,0.00331858948281,0.00276489401917
LPF,12,89,0.001,1.14806125487e-05,1.14801500578e-05,0.000920743099414,1.62341737561e-05,1,0,0,0.00342771858889,0.00285584485476
LPF,12,90,0.001,1.18691618496e-05,1.18686818801e-05,0.000920749560464,1.67836055255e-05,1,0,0,0.00354360412644,0.00295242560017
LPF,12,91,0.001,1.22825490097e-05,1.22820505108e-05,0.000920756021515,1.73681593934e-05,1,0,0,0.0036668993062,0.00305518134687
LPF,12,92,0.001,1.27232551479e-05,1.27227369462e-05,0.000920762482565,1.79913437995e-05,1,0,0,0.00379834412679,0.00316472907191
LPF,12,93,0.001,1.31941026789e-05,1.3193563491e-05,0.000920768943615,1.86571497943e-05,1,0,0,0.00393878101162,0.00328176912762
LPF,12,94,0.001,1.36983161669e-05,1.36977545774e-05,0.000920775404666,1.93701370902e-05,1,0,0,0.00408916990882,0.00340710531679
LPF,12,95,0.001,1.42395966313e-05,1.42390110497e-05,0.000920781865716,2.01355391337e-05,1,0,0,0.00425061809376,0.0035416558003
LPF,12,96,0.001,1.48222128467e-05,1.48216015086e-05,0.000920788326766,2.09593922082e-05,1,0,0,0.00442439241794,0.00368648158956
LPF,12,97,0.001,1.54511146912e-05,1.54504756368e-05,0.000920794787817,2.18486957154e-05,1,0,0,0.00461197856956,0.00384281554253
LPF,12,98,0.001,1.61320745716e-05,1.61314055616e-05,0.000920801248867,2.28116121581e-05,1,0,0,0.00481508826341,0.00401209019092
LPF,12,99,0.001,1.68718657254e-05,1.68711642512e-05,0.000920807709917,2.3857719269e-05,1,0,0,0.00503574603944,0.00419598923839
LPF,12,100,0.001,1.76784889943e-05,1.76777521971e-05,0.000920814229175,2.49983306809e-05,1,0,0,0.00527633822963,0.00439650441098
LPF,12,101,0.001,1.85614641564e-05,1.85606887807e-05,0.000920820690226,2.62469078871e-05,1,0,0,0.00553969803819,0.00461599967169
LPF,12,102,0.001,1.95322083424e-05,1.95313906333e-05,0.000920827151276,2.76195953422e-05,1,0,0,0.00582923059206,0.00485731300107
