series,source,x,y
envelope,Roland hardware demo,1.745,0.09391846274212957
envelope,Roland hardware demo,1.755,0.09682966120471133
envelope,Roland hardware demo,1.765,0.09670858225862598
envelope,Roland hardware demo,1.775,0.09441239540709213
envelope,Roland hardware demo,1.785,0.09592811708630386
envelope,Roland hardware demo,1.795,0.09297558831765011
envelope,Roland hardware demo,1.805,0.09588487128181845
envelope,Roland hardware demo,1.815,0.09398933927617147
envelope,Roland hardware demo,1.825,0.0932674373115938
envelope,Roland hardware demo,1.835,0.08861505529209858
envelope,Roland hardware demo,1.845,0.09410167315857494
envelope,Roland hardware demo,1.855,0.09276031126545904
envelope,Roland hardware demo,1.865,0.08988145493323431
envelope,Roland hardware demo,1.875,0.0857058133809799
envelope,Roland hardware demo,1.885,0.08781772285429619
envelope,Roland hardware demo,1.895,0.09514780832276416
envelope,Roland hardware demo,1.905,0.09575756173794053
envelope,Roland hardware demo,1.915,0.09249918419626424
envelope,Roland hardware demo,1.925,0.10343823701734237
envelope,Roland hardware demo,1.935,0.10767471559298553
envelope,Roland hardware demo,1.945,0.10360981102308055
envelope,Roland hardware demo,1.955,0.10427529502100398
envelope,Roland hardware demo,1.965,0.10478526128754036
envelope,Roland hardware demo,1.975,0.10387426187361157
envelope,Roland hardware demo,1.985,0.1059026192951414
envelope,Roland hardware demo,1.995,0.0995583901959818
envelope,Roland hardware demo,2.005,0.10248779456176829
envelope,Roland hardware demo,2.015,0.10552739583366864
envelope,Roland hardware demo,2.025,0.105184740598063
envelope,Roland hardware demo,2.035,0.1038112652129029
envelope,Roland hardware demo,2.045,0.10129196249046446
envelope,Roland hardware demo,2.055,0.10168830367446709
envelope,Roland hardware demo,2.065,0.1041536992343463
envelope,Roland hardware demo,2.075,0.10338217436266245
envelope,Roland hardware demo,2.085,0.10154899014422374
envelope,Roland hardware demo,2.095,0.10171295451507467
envelope,Roland hardware demo,2.105,0.10113135941538326
envelope,Roland hardware demo,2.115,0.10299445829470102
envelope,Roland hardware demo,2.125,0.09718004817218265
envelope,Roland hardware demo,2.135,0.1001714947715097
envelope,Roland hardware demo,2.145,0.10280707777577261
envelope,Roland hardware demo,2.155,0.10340838229487057
envelope,Roland hardware demo,2.165,0.10210565490237851
envelope,Roland hardware demo,2.175,0.09799522934750235
envelope,Roland hardware demo,2.185,0.09952615785488467
envelope,Roland hardware demo,2.195,0.10372300155203594
envelope,Roland hardware demo,2.205,0.10162439918684286
envelope,Roland hardware demo,2.215,0.10236465249766874
envelope,Roland hardware demo,2.225,0.11002115987155858
envelope,Roland hardware demo,2.235,0.10577628863126055
envelope,Roland hardware demo,2.245,0.1076819266250828
envelope,Roland hardware demo,2.255,0.10505461671235268
envelope,Roland hardware demo,2.265,0.10388036568746158
envelope,Roland hardware demo,2.275,0.09859522167826883
envelope,Roland hardware demo,2.285,0.10083771890210956
envelope,Roland hardware demo,2.295,0.09863687696723021
envelope,Roland hardware demo,2.305,0.09742802363996743
envelope,Roland hardware demo,2.315,0.0930368320625384
envelope,Roland hardware demo,2.325,0.09597475405015675
envelope,Roland hardware demo,2.335,0.09482129877715538
envelope,Roland hardware demo,2.345,0.08934278463403614
envelope,Roland hardware demo,2.355,0.09402483208519294
envelope,Roland hardware demo,2.365,0.10024778291598711
envelope,Roland hardware demo,2.375,0.09598769334042521
envelope,Roland hardware demo,2.385,0.09929883068544046
envelope,Roland hardware demo,2.395,0.10103198372895388
